Users	2015-11-28T12:12:18.872Z	2015-11-29T23:37:19.706Z	2015-11-30T23:10:18.669Z	2015-12-01T10:29:49.270Z	2015-12-02T08:20:01.535Z	2015-12-03T08:20:01.465Z	2015-12-04T08:20:01.493Z	2015-12-05T08:20:01.369Z	2015-12-06T08:20:01.528Z	2015-12-07T08:20:01.875Z	2015-12-08T08:20:01.909Z	2015-12-09T08:20:01.468Z	2015-12-10T08:20:01.394Z	2015-12-11T08:20:01.262Z	2015-12-12T08:20:01.348Z	2015-12-13T08:20:01.883Z	2015-12-14T08:20:01.281Z	2015-12-15T08:20:01.581Z	2015-12-16T08:20:01.240Z	2015-12-17T08:20:01.714Z	2015-12-18T08:20:01.574Z	2015-12-19T08:20:02.835Z	2015-12-20T08:20:02.072Z	2015-12-21T08:20:01.544Z	2015-12-22T08:20:01.930Z	2015-12-23T08:20:02.117Z	2015-12-24T08:20:01.586Z	2015-12-25T08:20:02.108Z	2015-12-26T08:20:01.415Z	2015-12-27T08:20:02.337Z	2015-12-28T08:20:01.287Z	2015-12-29T08:20:02.735Z	2015-12-30T08:20:01.206Z	2015-12-31T08:20:02.328Z	2016-01-01T08:20:02.395Z	2016-01-02T08:20:02.001Z	2016-01-03T08:20:01.415Z	2016-01-04T08:20:01.912Z	2016-01-05T08:20:02.038Z	2016-01-06T08:20:02.201Z	2016-01-07T08:20:01.975Z	2016-01-08T08:20:01.365Z	2016-01-09T08:20:01.625Z	2016-01-10T08:20:02.505Z	2016-01-11T08:20:02.244Z	2016-01-12T08:20:02.736Z	2016-01-13T08:20:01.153Z	2016-01-14T08:20:02.422Z	2016-01-15T08:20:02.066Z	2016-01-16T08:20:01.687Z	2016-01-17T08:20:01.408Z	2016-01-18T08:20:01.166Z	2016-01-19T08:20:01.537Z	2016-01-20T08:20:01.871Z	2016-01-21T08:20:02.113Z	2016-01-22T08:20:01.279Z	2016-01-23T08:20:02.364Z	2016-01-24T08:20:01.690Z	2016-01-25T08:20:01.646Z
bobbythakkar	0	0	0	0	0	0	0	0	0	7	7	7	7	8	8	9	9	9	9	9	31	31	31	31	31	31	32	36	37	37	37	37	37	37	37	37	37	37	38	38	38	38	38	38	60	60	72	72	72	72	72	72	77	77	78	78	78	78	78
bogdan_vitoc	405	405	405	405	405	405	405	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410	410
bot-jonathan	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
boundarybreaker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	25	25	25	29
briann	69	71	73	73	74	77	77	81	82	83	85	106	106	108	108	108	109	109	109	109	109	109	109	111	111	111	111	111	111	111	111	111	112	112	112	112	112	112	114	114	115	117	117	117	117	118	118	119	120	120	120	130	130	133	134	134	136	137	137
brianthelam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
bwmaniac	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c	0	0	2218	2340	2421	2519	2692	2757	2839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
cathy	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
cbarbosa2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chaoyi	2085	2136	0	0	0	0	0	0	0	3021	3167	3301	3404	3470	3578	3862	3927	4075	4179	4194	4235	4404	4489	4516	4559	4990	5146	5160	5172	5252	5255	5345	5455	5485	5571	5626	5632	5643	5653	5706	5756	5759	5838	5877	5886	5891	5892	5896	5905	5919	5921	5952	5958	5996	5999	5999	6011	6015	6026
conrad	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
cristian.colin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2
dan	139	139	139	139	139	139	139	140	140	140	140	140	140	140	141	141	141	141	141	204	206	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	207	209	210	210	213	213	213	213	213	213	213	215
dannysaur	14	14	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
darrylyeo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
datam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dave	0	0	0	0	0	0	10	17	44	58	89	89	89	89	89	89	89	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93	93
ddollar	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
diego	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
doglover101	1410	1416	1416	1467	1469	1472	1566	1585	1585	1695	1695	1914	1926	1940	1971	2151	2179	2275	2316	2372	2381	2385	2397	2450	2460	2461	2462	2469	2561	2590	2595	2596	2598	2598	2600	2602	2604	2608	2676	2685	2685	2685	2687	2690	2690	2741	2742	2756	2756	2787	2787	2793	2794	2845	2874	2885	2919	2919	2919
dvalcarcel2747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	5	5	5	5	5	5	5
ecolooo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
edjiang	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
englandscience	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fedorenko.olga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
