Users	2015-11-28T12:12:18.872Z	2015-11-29T23:37:19.706Z	2015-11-30T23:10:18.669Z	2015-12-01T10:29:49.270Z	2015-12-02T08:20:01.535Z	2015-12-03T08:20:01.465Z	2015-12-04T08:20:01.493Z	2015-12-05T08:20:01.369Z	2015-12-06T08:20:01.528Z	2015-12-07T08:20:01.875Z	2015-12-08T08:20:01.909Z	2015-12-09T08:20:01.468Z	2015-12-10T08:20:01.394Z	2015-12-11T08:20:01.262Z	2015-12-12T08:20:01.348Z	2015-12-13T08:20:01.883Z	2015-12-14T08:20:01.281Z	2015-12-15T08:20:01.581Z	2015-12-16T08:20:01.240Z	2015-12-17T08:20:01.714Z	2015-12-18T08:20:01.574Z	2015-12-19T08:20:02.835Z	2015-12-20T08:20:02.072Z	2015-12-21T08:20:01.544Z	2015-12-22T08:20:01.930Z	2015-12-23T08:20:02.117Z	2015-12-24T08:20:01.586Z	2015-12-25T08:20:02.108Z	2015-12-26T08:20:01.415Z	2015-12-27T08:20:02.337Z	2015-12-28T08:20:01.287Z	2015-12-29T08:20:02.735Z	2015-12-30T08:20:01.206Z	2015-12-31T08:20:02.328Z	2016-01-01T08:20:02.395Z	2016-01-02T08:20:02.001Z	2016-01-03T08:20:01.415Z	2016-01-04T08:20:01.912Z	2016-01-05T08:20:02.038Z	2016-01-06T08:20:02.201Z	2016-01-07T08:20:01.975Z	2016-01-08T08:20:01.365Z	2016-01-09T08:20:01.625Z	2016-01-10T08:20:02.505Z	2016-01-11T08:20:02.244Z	2016-01-12T08:20:02.736Z	2016-01-13T08:20:01.153Z	2016-01-14T08:20:02.422Z	2016-01-15T08:20:02.066Z	2016-01-16T08:20:01.687Z	2016-01-17T08:20:01.408Z	2016-01-18T08:20:01.166Z	2016-01-19T08:20:01.537Z	2016-01-20T08:20:01.871Z	2016-01-21T08:20:02.113Z	2016-01-22T08:20:01.279Z	2016-01-23T08:20:02.364Z	2016-01-24T08:20:01.690Z	2016-01-25T08:20:01.646Z
jjhally	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jlin0104	98	98	98	99	99	99	99	100	100	100	100	100	100	101	101	101	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
jonl	3099	3099	3124	3205	3373	3554	3671	3820	3824	3859	3896	3937	4069	4149	4217	4217	4282	4342	4517	4596	4812	4922	5203	5430	5455	5494	5500	5553	5589	5601	5602	5655	5790	5949	5998	6076	6085	6088	6124	6465	6629	6792	6831	6850	6944	7048	7158	7256	7387	7543	7599	7694	7844	7942	8051	8154	8181	8181	8181
jonwlee	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58
jordanprimo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
josh	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
joydawn572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	6	6	6	6	6	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
julietteboyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
justinleesf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	33	33	33	33	33	33	33	33	33	33	33	33	33	33	35	35	92	103	103	103	103	103	103	103	107	108	109	110	110	110	110	110	110	110	110	110
justinyu	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	27	27	27	27	27	27	27	27	27
kern	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kevin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
kjung.sh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
klee4017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
krishmunot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
krizia.araracap	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
ktsai	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
kura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
lee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
leilaaimee	1268	1270	1280	1337	1344	1350	1395	1415	1417	1437	1444	1482	1482	1485	1500	1505	1505	1505	1505	1517	1522	1526	1526	1545	1545	1545	1545	1545	1547	1547	1547	1548	1548	1550	1551	1552	1552	1552	1572	1572	1572	1572	1572	1572	1572	1576	1576	1576	1576	1613	1613	1623	1624	1624	1624	1624	1624	1624	1624
li	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
linchung2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
lowiso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3
mahahahajan	185	185	185	185	185	187	194	194	194	194	194	205	230	250	265	269	269	270	270	274	274	274	277	279	279	310	313	313	400	405	405	431	503	503	503	505	505	505	505	510	515	516	517	518	519	519	539	540	540	540	540	540	540	541	543	544	545	546	546
mary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
metmets	297	315	341	345	390	425	451	485	502	506	506	514	544	621	643	699	931	979	1074	1125	1169	1196	1208	1232	1235	1247	1269	1288	1296	1363	1363	1369	1369	1377	1382	1387	1390	1391	1394	1408	1427	1429	1432	1432	1435	1461	1474	1492	1514	1564	1581	1600	1675	1737	1746	1787	1814	1814	1818
mhesby	1271	1271	1293	1366	1412	1454	1518	1523	1523	1533	1593	1679	1767	1806	1822	1832	1934	2048	2108	2132	2163	2236	2254	2288	2312	2406	2408	2408	2408	2413	2558	2558	2597	2705	2714	2719	2720	2721	2849	2877	2946	2984	3046	3127	3271	3305	3341	3373	3383	3394	3516	3582	3695	3747	3751	3764	3764	3782	3807
mikaela123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
milk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2
momojj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
mr_yoho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	52	52	52	52	52	67
msw	1504	1557	1579	1668	1828	1864	1977	2069	2119	2132	2239	2324	2383	2443	2495	2536	2684	2743	2817	2851	2865	2951	3027	3074	3111	3119	3139	3153	3155	3155	3160	3162	3169	3181	3206	3236	3240	3244	3274	3280	3286	3291	3318	3326	3572	3604	3655	3700	3733	3783	3839	3874	3909	3912	3940	3948	3953	3977	3986
muditbhutani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	6	6	6
nathan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
nick.s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
nickolas360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nkf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	20	121	137	164	164	173	173	173	175	176	178	179	181	188	188	189	195	198	208	208	208	208
notsmyles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	9	34	34	34	36	41	42	42	44	46	46	48	54	66	67	67	67	68
nrad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	44	44	66	81	81	129	129	129	129	129	129	129	129	129	129	129
one_punch_genos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ossu02	0	0	0	0	0	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
phillip	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
rafe	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	21	21	21	21	21	21	21	21	21	32
rasberry_swirl5401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
renee	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
rodney	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
saescapa	249	281	282	298	299	311	329	333	333	336	349	389	390	390	392	392	398	404	404	414	436	439	443	448	448	448	448	448	448	448	448	448	448	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	463	474	474	474	476
salamander1012	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
samil																																																											0
sarbo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sely	3566	3579	3586	3609	3637	3647	3671	3711	3757	3868	3907	3967	3984	3995	4030	4177	4181	4263	4294	4379	4427	4458	4549	4595	4675	4694	4741	4757	4758	4758	4760	4776	4781	4785	4788	4799	4799	4799	4857	4971	4982	4985	4990	4990	4990	5016	5040	5044	5049	5049	5058	5061	5080	5083	5110	5118	5122	5122	5134
seth	106	126	174	181	199	218	234	239	241	278	321	327	348	356	358	363	386	398	412	430	442	442	457	506	516	541	557	563	565	580	581	581	582	588	601	614	614	614	627	668	697	698	699	699	699	704	710	722	725	732	732	732	732	739	744	745	746	748	748
shagun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
shane	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109	109
shriyash	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
simple-cs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
slack-stats-collector	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slackin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slydog123123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	27	27
sneharamapo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
suddenly_bunnies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
tejas	184	185	185	185	190	190	190	190	190	218	218	218	218	218	218	218	218	221	226	227	227	227	229	229	229	229	229	229	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230
teresa	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46
test-user	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
thebigch33se	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
thekingsmadness	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
theklam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
thethirdone	54	64	65	65	65	65	75	76	80	81	84	87	88	90	91	97	98	98	98	98	98	98	98	98	98	99	99	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	104	106	115	116	116	116	116	116	117	122	122	122	122	122	122	122
timirah-j	0	0	0	0	12	12	12	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
tocttou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	7	7	7	7
udit	112	115	117	117	117	120	130	130	131	132	134	307	317	317	339	435	443	475	476	476	484	485	489	492	495	495	495	495	495	498	499	499	499	499	499	500	500	501	501	504	504	504	505	506	508	509	510	510	513	531	531	533	535	552	553	553	554	559	559
vaibhav	199	199	212	212	212	216	217	219	219	221	221	372	381	386	424	542	547	575	575	575	578	585	589	592	592	593	593	593	596	596	596	597	597	598	602	604	604	604	605	613	617	620	620	621	623	623	623	623	626	632	632	648	655	657	669	673	686	692	694
vicmapunga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	132	172	180	200	209	242	257	261	269	269	270	270	271	271	273	274	274	275	275	275	277	278	278	278	282	282	282	288	288	288	290	291	291	297	297	298	298	298	298
victor	26	26	38	38	38	38	38	38	38	38	38	38	42	46	46	46	46	46	66	66	69	73	75	75	75	75	77	77	77	82	82	87	92	92	96	98	98	98	98	126	126	126	126	126	126	126	126	126	126	126	126	126	126	128	128	128	128	128	128
whateverbrit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
whelton	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230	230
who	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
xoxoron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	17	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
yash	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
yashweek	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	21	28	29	29	29	34	34	34	34	43
yuniko	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6
zachcmiel	107	111	119	119	126	143	144	154	183	187	213	228	228	230	231	231	231	231	231	231	231	231	231	231	231	231	231	231	231	237	237	237	237	239	243	255	255	255	255	255	255	255	255	256	259	259	259	259	260	262	262	262	262	262	262	263	263	263	263
zrl	5580	5597	5686	5840	6223	6357	6545	6631	6677	6795	6954	7027	7319	7414	7584	7672	7750	7844	8035	8076	8187	8289	8351	8443	8489	8588	8674	8747	8783	8799	8803	8815	9137	9354	9551	9745	10045	10088	10233	10571	10800	10973	11092	11102	11430	11600	11792	11918	11999	12255	12486	12561	12894	13119	13241	13331	13449	13459	13491
